"record_identifier","ecommons_entity_name","ecommons_title","ecommons_title_year","ecommons_subject","ecommons_publisher","search_url","OCLC_result1_preflabel","OCLC_result1_birthdate","OCLC_result1_deathdate","OCLC_result1_score","OCLC_result1_subject","OCLC_result1_subject_CUL_score","OCLC_result1_OCLC_URI","OCLC_result1_LoC_preflabel","OCLC_result1_LoC_URI","OCLC_result1_LoC_birthdate","OCLC_result1_LoC_deathdate","OCLC_result1_LoC_affiliation_CUL_score","OCLC_result1_VIAF_URI","OCLC_result1_VIAF_title_CUL_score","OCLC_result1_VIAF_affiliation_CUL_score","OCLC_result1_ISNI_URI","OCLC_result1_Wiki_URI","OCLC_result2_Wiki_affiliation_CUL_score","OCLC_result2_preflabel","OCLC_result2_birthdate","OCLC_result2_deathdate","OCLC_result2_score","OCLC_result2_subject","OCLC_result2_subject_CUL_score","OCLC_result2_OCLC_URI","OCLC_result2_LoC_preflabel","OCLC_result2_LoC_URI","OCLC_result2_LoC_birthdate","OCLC_result2_LoC_deathdate","OCLC_result2_LoC_affiliation_CUL_score","OCLC_result2_VIAF_URI","OCLC_result2_VIAF_title_CUL_score","OCLC_result2_VIAF_affiliation_CUL_score","OCLC_result2_ISNI_URI","OCLC_result2_Wiki_URI","OCLC_result2_Wiki_affiliation_CUL_score"
"oai:ecommons.cornell.edu:1813/58","Hirtle, Peter B.","Unpublished Materials, New Technologies, and Copyright: Facilitating Scholarly Use","2001","['manuscripts', 'copyright', 'archives']","['Copyright Society of the USA']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Hirtle%2C%20Peter%20B.","Peter B. Hirtle","","","140.53934","Archival materials--Digitization--Law and legislation","27","http://worldcat.org/entity/person/id/2632276873","Hirtle, Peter B.","http://id.loc.gov/authorities/names/n87947888","","","","http://viaf.org/viaf/65542932","46","","http://isni.org/isni/0000000027500380","","","","","","","","","","","","","","","","","","","",""
"oai:ecommons.cornell.edu:1813/59","Werling, Benjamin","ONION MAGGOT DELIA ANTIQUA (DIPTERA:  ANTHOMYIIDAE) ADULT ACTIVITY AND OVIPOSITION IN NEW YORK ONION FIELDS:  IMPLICATIONS FOR MANAGEMENT","2003","['onion maggot', 'landscape ecology']","","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Werling%2C%20Benjamin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"oai:ecommons.cornell.edu:1813/60","Tisi, David","EFFECT OF DENSE PHASE CARBON DIOXIDE ON ENZYME ACTIVITY AND CASEIN PROTEINS IN RAW MILK","2004","['carbon dioxide', 'milk', 'casein', 'enzymes', 'lipase', 'protease']","","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Tisi%2C%20David","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"oai:ecommons.cornell.edu:1813/64","Laquatra, Joseph","Waste Management at the Construction Site","2002","['waste management', 'construction debris']","['Cornell Cooperative Extension']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Laquatra%2C%20Joseph","Joseph Laquatra","","","170.47346","Housing and health","35","http://worldcat.org/entity/person/id/2640916752","Laquatra, Joseph","http://id.loc.gov/authorities/names/n86823309","","","","http://viaf.org/viaf/11340617","42","","http://isni.org/isni/0000000026125654","","","","","","","","","","","","","","","","","","","",""
"oai:ecommons.cornell.edu:1813/64","Pierce, Mark R.","Waste Management at the Construction Site","2002","['waste management', 'construction debris']","['Cornell Cooperative Extension']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Pierce%2C%20Mark%20R.","Mark R. Pierce","","","31.077358","Theology, Doctrinal","38","http://worldcat.org/entity/person/id/2638488931","Pierce, Mark R.","http://id.loc.gov/authorities/names/n2007072601","","","","http://viaf.org/viaf/58536102","47","","http://isni.org/isni/0000000036362784","","","","","","","","","","","","","","","","","","","",""
"oai:ecommons.cornell.edu:1813/65","DeNicola, Anthony J.","Managing White-tailed Deer in Suburban Environments","2000","['deer management', 'deer-vehicle collisions', 'deer ecology', 'nonlethal deer management', 'deer population reduction', 'deer damage control']","['Cornell Cooperative Extension']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=DeNicola%2C%20Anthony%20J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"oai:ecommons.cornell.edu:1813/65","VerCauteren, Kurt C.","Managing White-tailed Deer in Suburban Environments","2000","['deer management', 'deer-vehicle collisions', 'deer ecology', 'nonlethal deer management', 'deer population reduction', 'deer damage control']","['Cornell Cooperative Extension']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=VerCauteren%2C%20Kurt%20C.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"oai:ecommons.cornell.edu:1813/65","Curtis, Paul D.","Managing White-tailed Deer in Suburban Environments","2000","['deer management', 'deer-vehicle collisions', 'deer ecology', 'nonlethal deer management', 'deer population reduction', 'deer damage control']","['Cornell Cooperative Extension']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Curtis%2C%20Paul%20D.","Curtiss Paul DeYoung","1957","","198.31789","Race relations--Religious aspects--Christianity","40","http://worldcat.org/entity/person/id/2634829137","DeYoung, Curtiss Paul","http://id.loc.gov/authorities/names/n94103152","","","","http://viaf.org/viaf/161692436","38","","http://isni.org/isni/000000011482747X","","","Paul D. Curtis","","","153.7004","Wildlife pests--Control","40","http://worldcat.org/entity/person/id/2636042485","Curtis, Paul D.","http://id.loc.gov/authorities/names/nr2002034259","","","","http://viaf.org/viaf/44237716","49","","http://isni.org/isni/000000004917095X","",""
"oai:ecommons.cornell.edu:1813/65","Hyngstrom, Scott E.","Managing White-tailed Deer in Suburban Environments","2000","['deer management', 'deer-vehicle collisions', 'deer ecology', 'nonlethal deer management', 'deer population reduction', 'deer damage control']","['Cornell Cooperative Extension']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Hyngstrom%2C%20Scott%20E.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"oai:ecommons.cornell.edu:1813/66","Smith, Arthur E.","Managing Canada Geese in Urban Environments","2000","['Canada goose management', 'Canada goose biology', 'Canada goose habitats', 'Canada goose reproduction management']","['Cornell Cooperative Extension']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Smith%2C%20Arthur%20E.","A. E. Wilder-Smith","1915","9-14","979.6445","Evolution (Biology)","54","http://worldcat.org/entity/person/id/2642344969","Wilder-Smith, A. E.","http://id.loc.gov/authorities/names/n50019278","","","","http://viaf.org/viaf/100382528","44","","http://isni.org/isni/0000000080084654","http://www.wikidata.org/entity/Q321816","","Eric Arthur Smith","","","318.7309","Choruses, Secular (Mixed voices, 3 parts), Unaccompanied","54","http://worldcat.org/entity/person/id/2642109286","Smith, Eric Arthur","http://id.loc.gov/authorities/names/nb2002022336","","","","http://viaf.org/viaf/6898561","","","","",""
